Id,SalePrice
1461,130165.14250417362
1462,156851.68852965854
1463,176593.07686523724
1464,181210.55000841568
1465,192597.3931188101
1466,178948.7382790146
1467,171432.516006693
1468,162254.73381795263
1469,178195.71141378247
1470,122441.1767672059
1471,203177.0606259825
1472,98002.87069465718
1473,95089.61070525894
1474,153645.27677059302
1475,133031.7182854852
1476,398944.30967129633
1477,248220.33586618837
1478,302619.2857901068
1479,275971.8758682323
1480,465115.0103173673
1481,314203.81595894916
1482,211906.76118270864
1483,164338.71764362225
1484,161547.56520084952
1485,177685.6615625749
1486,195968.41315991493
1487,334325.75430723646
1488,237239.8119174538
1489,189647.7066685686
1490,226259.53094994446
1491,190572.9263827402
1492,94488.52097314624
1493,191493.05311920744
1494,304443.8755602084
1495,284228.0114838447
1496,224575.72970534072
1497,180156.07526844618
1498,159290.27745029188
1499,159836.78723430727
1500,140695.78959631483
1501,163242.7765419941
1502,151427.2440680454
1503,279799.66003633384
1504,224303.38021167248
1505,210977.09538651808
1506,183226.8363536533
1507,240394.28297726566
1508,191225.7614470062
1509,153968.6411737437
1510,141376.2861501055
1511,137661.50011138208
1512,170863.74265304493
1513,147244.8819314685
1514,175595.78629059638
1515,206234.56761283457
1516,170178.89603410976
1517,149479.21971013583
1518,138097.75638943064
1519,219477.27752840644
1520,126153.24477998646
1521,133288.61316470758
1522,165873.42102378572
1523,105118.20585987071
1524,120149.15407985362
1525,123067.01115776136
1526,130605.44315108871
1527,106202.1941176321
1528,146247.95032084006
1529,142732.07340787543
1530,177636.2174238124
1531,90293.7305615693
1532,96429.30994232332
1533,148061.22109889335
1534,122743.69299117228
1535,151311.63664228586
1536,115339.23835058424
1537,80092.251595648
1538,189861.08114043876
1539,210281.81971194464
1540,91673.23474734127
1541,141123.51775612714
1542,137243.98994882466
1543,214693.65875573782
1544,77245.39449386357
1545,106063.95409702056
1546,125856.7673663322
1547,126349.96321847515
1548,131297.39078942078
1549,109806.80418737543
1550,138219.55232401623
1551,121464.00503691491
1552,139606.31576141756
1553,159661.85726775698
1554,105866.88479015631
1555,167887.83294198033
1556,75273.0532341967
1557,109665.76065475508
1558,86382.68794318619
1559,89837.41581531843
1560,144465.46097521347
1561,131693.83336393992
1562,123488.55318421737
1563,110129.78781882233
1564,160147.60077951977
1565,141217.09826801153
1566,222937.22099112056
1567,72933.46050733924
1568,205129.48461334026
1569,130419.57657721381
1570,116002.69609318895
1571,119877.72869341742
1572,147361.4196244961
1573,244305.3324259441
1574,115609.01611966392
1575,216383.9469583182
1576,207111.53841807353
1577,189616.40565538974
1578,151316.4579101316
1579,142030.59419571637
1580,194516.04147100204
